Review,Sentiment,Platform
"Place is good. The lake and the scenery. But rooms are tiny. I recommend Water Garden for the same price. Food is ordinary. Not really a five star taste like Anantara and Water Garden. The price is much more expensive considering the rooms. We had the room with spa bath. Monkeys are around the area, my kid likes it.",Positive,TripAdvisor
We just spent 3 nights at this hotel. The hotel is rather dated and tired but this is made up by the services and staff. We got a room upgrade to a room with a jacuzzi which was fun and we loved watching the monkeys play on the balcony each morning. I would definitely recommend staying in this unusual hotel. It is close to Sigiriya and Dambulla temple and 1 hour from National park. We had a lovely experience. Thank you,Positive,TripAdvisor
The staff is very friendly and supportive. They have taken very good measures against COVID 19. But there are issues in maintenance of the rooms. The varieties of food items to be improved in the buffet. The classical band was very entertaining! ,Positive,TripAdvisor
"Nice peaceful environment..
Good food..",Positive,Google Reviews
A theme hotel build to blend with the surrounding jungle nurtured by the Kandalama reservoir. Out door and indoor Hotel spaces let you have a chance to communicate with the elite style of Bawa. A boat ride allows you to catch a glimpse at the hotel as an element of the jungle through the trees.,Positive,Google Reviews
Checking in was great. The minute we pulled up we were greeted with fresh juice and refreshing towelettes. The hotel is located next to a lake and the view is amazing. The rooms were nice with an amazing view of the lake as well. The rooms did look a bit out dated but remember this is an Eco Hotel so this is something that probably does not get done every 2-3 years. The shower also shared the same view of the lake. The piped music is a nice touch. We had a snack in one of restaurants and the food although a bit pricey was very good. The breakfast buffet had a great selection as well. There is a lot of stuff to do at this hotel. I wish we had stayed for more than one night. I will definitely be back to stay there again.,Positive,Expedia
"You're trapped at this hotel for food choices and they exploit this to the full charging way too much for poor equality food.
There is not enough furniture in the cafe or by the pool and we struggled to find a place at both. The cafe gets very busy in the evening because people realise the buffet is more of a rip off and poor quality than the bar - $15 for spring rolls?!?
The music in the evenings took me back to the 80's to a cheap package holiday on the Costa del Sol in Spain it was loud and intrusive.
The cashier was trying to do three things at once when he checked me out speaking to his colleagues both on the phone and sitting next to him, he even stated checking out another customer before I was done.
On check out we complained to the duty manager. He seemed very unconcerned and just gave us a feedback form to complete. He said the problem would be fixed immediately - how ridiculous.
This hotel needs some western influence in its management team if it wants to successfully cater to western tourists, because the quality and value for money are simply not acceptable.",Negative,Google Reviews
Every corner is beautiful in this building. A very iconic building. A must visit for all the architects. You'll surely enjoy l! It's a breathtaking experience. Great service! Loved everything about this building!,Positive,Google Reviews
"NOT RECOMEND if you expect a good customer service from this hotel. The atmosphere is good. So if you really want to enjoy Geoffrey Bawa's architecture, forget about getting good customer service, from here. I have an extremely unpleasant experience and will not choose this hotel again. From the entrance I felt that we were unwelcomed.",Negative,Google Reviews
"I went to Sri Lanka for the first time last Dec 2010. Having just been to Tea Country, it was hard to impress. However, nothing could have prepared me for the other extreme. It was one of the worst hotel experiences I have had. Putting itself out as a 5 star hotel is a joke. The architecture is pretty impressive and the settings and surroundings stunning. However, having built itself practically into a rock face provides guests with the charming smell of bat guano. We arrived late one evening only to find the lobby in complete darkness. Fine - lets save on electricity. We were then taken to the outside lobby - really impressed by the lake - and stood next to a mock giant snake. OK. What next I thought? We were then taken by lift down to our LUXURY room and got out of the lift to be greeted by the smell of bar droppings. The corridors were extremely dark thanks to the proximity to the rock caves. Our LUXURY room was old, dark, the pillows were extremely floppy (those with bad necks beware!!), no proper duvets only sheets (never come across those since university days 15 years ago!!). Right - not quite working out. Next we walk into the bathroom - hey - I thought this decorative concept of having rows of uncovered lightbulbs surrounding the bathroom mirror was very 80s!!! Decide to take a shower only to realise that the designers of the hotel must have realised that guests walking around the estate can see into the bathrooms! The solution - lets stick a plastic rubber sheet on the windows! Our room was so utterly depressing it was honestly really hard to stay there. We then paid for an upgrade to a suite - which was actually much much better as the rooms were newer, you got bathroom slippers (not available in LUXURY rooms), and a lot more spacious. The lightbulbs around the bathroom mirrors were still there - but at least all the lightbulbs worked (unlike the LUXURY room). More importantly, the suites are located on the higher floors so when one is not greeted by the smell of bat droppings and the surroundings feel a lot more airy and brighter. However, being close to nature meant that when we got back to our rooms at night outside the room door must have been hundreds and hundreds of insects zooming around. Luckily these weren't mosquitoes and were all dead on the floor the next morning only to be replaced by another batch of a couple of hundred insects in the evening. Regarding food. Big tour groups I think would be pretty happy here. Dining halls are huge with a lot of variety. For couples looking for a quite evening, there is a fine dining restaurant but with really average food plus a 3 page menu. Seriously - not much variety. Westerners beware - don't bother with the steaks etc. The decorations were quite something in the sense that I have not seen anything this bad for sometime. Perhaps it was the giant hooded snake that I stood next to whilst trying to check in. Or the giant suspended iron owl outside the main restaurants (actually it had 2 heads). Or possibly the mock polar bears in the main dining hall. Seriously speaking - going for an extreme minimalist look by just getting rid of these hideous creations would have given this hotel a much more classy feel. My summary of the trip (1) for couples looking for a quite time together - please please please do not even think about this place (2) for group tours - probably makes sense. Everybody can tuck into the massive buffet spreads in the morning (3) value for money - I felt absolutely ripped off by a hotel claiming to be 5 star charging US$300 per night (4) I was actually looking forward to checking out and leaving this place. To anyone even considering Kandalama, please please do not be swayed by the huge % who have voted for this hotel. Complete and utter joke.",Negative,TripAdvisor
"We enjoyed 4 nights at Heritance Kandalama Hotel. Friendly staff and unique beautiful surroundings. The room and bed were comfy, air con worked great, amazing view over valley with plenty of monkeys and birds to watch from the terrace. Pool area was lovely and a nice treat after a day of touring and hiking. Large and plentiful buffet breakfast with lots of good local curries, hoppers and other choices. Given the hotel’s location, there is nowhere to eat dinner but at the hotel. We didn’t do the buffet dinner as it didn’t appear special to us. Our dinner one night was at the a la carte restaurant (ok, not great). We otherwise ordered local Sri Lankan curries trough room service and honestly they were hot, plentiful, good value and very tasty. Nice in-room service with a movie!",Positive,TripAdvisor
"It was an amazing being that close to nature. The kind staff and fascinating view made it easier to relax. The design is incredible, how they managed to build the hotel around the rocks. This was definitely worth it",Positive,Expedia
"Natural design,Friendly staff, Top rated",Positive,Google Reviews
"We have been guests of this hotel on several short stay holidays with our friends and family since it opened in the mid 1990s. When we arrived at the hotel, the front desk insisted that only the person who made the reservation (who was parking the vehicle at the time) could fill in the check in forms despite the fact that I had handed the guest relations person a printout of our online booking confirmation and wanted to start filling in the check in forms. Not a great start, despite the scented wet face towel and the lotus flower!After a day of trekking and sightseeing, it can be an effort to dress up for dinner, and we really wanted to relax using the in-room dining facility for dinner. We felt that the hotel discouraged guests from ordering room service as the menu was limited, overpriced, and to our utter dismay, the food was mediocre, at best. The Club Sandwich (which cost almost double of what one would pay at another 5 star hotel) what was probably the worst cub sandwich we have ever tasted. The grilled chicken was bland and the pickle which accompanied the sandwiches was just vegetables in coloured salt water! ""Out-of-this-world"" is how we've described food at Kandalama in the past. To compare with another hotel in the “Heritance” range, the in-room dining and restaurant meals at Heritance Ahungalla during our stay in June 2011 was good value for money.The hotel should acquire a few more DVD players, so that guests who stay in rooms where a DVD player is not a standard amenity, can obtain one (even at a fee), for the period of their stay! We requested a DVD player which was eventually installed (further to housekeeping and maintenance departments taking forever to find a ‘multi-plug’ so that they didn’t have to disconnect the mini bar to plug in the DVD player!), and the following afternoon, the reception called to ask if we had ""finished watching the movie"", so that they can give the DVD player to another guest. To be fair, as we hadn't ""finished watching the movie"" we were 'allowed' to keep the player till next morning.Perhaps first time guests will still consider Heritance Kandalama to be one of the best in Sri Lanka, but we as repeat guests whose expectations were high from past experiences from a time when the hotel staff went out of their way to accommodate simple (and of course reasonable) requests from guests, will now think twice before we pay the premium rates stay there again.",Negative,TripAdvisor
"Visited the Hotel from India only to explore the marvelous architecture designed by Bawa for 3 days.  Wonderful Hospitality and amazing staff especially the Duty Manager Dinesh and his team, received us with lot of care and quickly responded to our needs in the midnight as well. Breakfast buffet And Dinner buffet are very delicious with its wide spread,  restaurant staff (Imali, Sagarika , Janaka and the team) are very friendly. We will visit again!",Positive,Google Reviews
Great place. Respect to geoffrey bawa (architecture).,Positive,Google Reviews
"Unique, innovative and award winning architecture. Great food. Wonderful service. One of the best hotels in Sri Lanka. Can have memories worth lifetime",Positive,Google Reviews
"Stayed 3 nights in February. This is is a large hotel where they take great pride in their ecological aspects. Whilst we enjoyed our stay, the main dining room has a ""canteen"" feel about it which is at odds with the quality of the food which is very high. Rooms are well appointed but are showing their age a little. If we came back to the area we would start by looking for another hotel but overall our stay was on the ""quite satisfactory"" level.",Negative,TripAdvisor
"Won't recommend for anyother to stay in here since room amamenities are way too poor. There was no power in the room first and then the TV wasn't working.
Plus no bathroom supplies were placed even its a 5 star hotel. Had to pay for those!
One of the most terrible hotel stay ever.
Expect the food! The buffet was delicious !",Negative,Google Reviews
"hotel needs renovation.
They try to control guests transportations,  they charge 3 times higher money fr the cars and dont allow outside cars to come to hotel so guests are forced to pay more.
At night there are some areas in the Corridor without light......lighting needs improvement. I am an architect and i jv designed many up class hotels.",Negative,Booking.com
Had a perfect experience at Kandalama Royal suite! Absolutely perfect location to chill and relax. Service was superb and food needs abit of more improvement as we were on ala carte.,Positive,Google Reviews
"What an incredible experience. If you are coming to Sri Lanka, staying at the hotel is a must!

Location:
The hotel is a bit isolated and good luck booking taxi/tuk tuk, you'll need to ask the hotel to book something for you. But the hotel is set in an amazing jungle location on the banks of a reservoir. It's a short drive to Dambulla and Sigriya

Rooms/Facilities:
Rooms are stunning with jungle/lake views. Good size, modern decoration and kept really clean. Hotel has 3 swimming pools, a good sized gym and a number of restaurants/eating areas.

Service:
The staff here are incredible. So friendly and nothing is too much of an ask.",Positive,Google Reviews
Great view and place but not the all but one staff member doesn't know to respect. I am giving 5 star as a best place. But unhappy with one member in staff. He is only validating clients by their vehicle. But he doesn't know some of them were the auditors who have done the audit in their hotel. Again place was soo good and beautiful.,Positive,Google Reviews
"I wanted to love this hotel but just couldn't. The architecture and the whole concept of this hotel is amazing however it is so outdated internally that the whole place needs a huge refurb. The rooms are extremely run down and all the tapware was badly corroded. Although tidy it still just seemed very dirty and not comfortable in any way. Also the public pool areas are tiny for the size of the hotel and there are never any sunbeds available and it always seemed crowded. There are so many more beautiful accomodation options in Sri Lanka that hardly get any recognition and are 100 times better and more eco friendly than this place. 

On a positive note the staff are very friendly and helpful and the food was great!  

",Negative,Expedia
"We had a fantastic stay at this Geoffrey Bawa designed, uniquely beautiful hotel which is a living example for maestro's excellent architectural work.
On arrival we had a free upgrade to Delux Room with Jacuzzi which gave us a breathtaking view from room balcony over Kandalama Lake and Sigirya, amazing at sunset.The hotel is built around the rock,nestled in nature, monkeys roaming around with relaxing atmosphere also having a natural Kaludiya Pokuna pool on 6th floor. There were so many viewpoints in every corner of this iconic building  and each gave magnificent sceneries.
Rooms were clean,spacious and comfortable with modern furniture.
The buffet had a wide spread and the foods were delicious.
Staff was excellent, very friendly and attentive.
We loved every minute of our fabulous stay and definetly will come back for another stay. ð",Positive,Google Reviews
"Wonderful architecture (architect by Giffery Bawa)
It is a first certified green building in Sri Lanka
Nature friendly building structure
near to Sigiriya (Have Sigiriya view)
Not recommended for children( below 14years)",Positive,Google Reviews
"We stayed one night and the weather was horrible so we didn’t enjoy it as much as we could have. The architecture is amazing, and from the lake it’s quite hard to spot the 150 room hotel. Very good not excellent because the restaurant was very noisy and more of a canteen than restaurant feel to it. Our mid range rooms were lovely, but we couldn’t sit outside on our balcony to enjoy the view or the monkeys because we were overwhelmed by the noise of a huge generator. The lake safari advertised didn’t exist, and the lake boat trip was pretty hopeless and a bit boring tbh.",Negative,TripAdvisor
"My family of 5 adults stayed at Kandalama on 11-14 March. This was my second visit to Kandalama having stayed 4 years prior. I was really looking forward to it however it did not live up to my expectations. When we first arrived we were disappointed to see that my parents and brother who were sharing a room were put in a ridiculously small room that at check in did not have a bed for my brother. We complained to the travel agent and directly and did have both our rooms changed the following day which resulted in a significantly better room for my parents and brother. Geoffrey Bawa designed an excellent building, however Aitken and Spence are not doing adequate maintenance. I saw evidence of wood rot, wood fungus and tile delamination as well as the need for painting, plus more. Due to the construction being built into the jungle constant maintenance is required and this is not being done. This is such a shame.I visited the day spa and this has not faired well over the 4 year period and is in desperate need of work. We dined one night in the Kaludiya al a carte restaurant and I really enjoyed my meal. As I am not a big eater it was not much more expensive than the buffet and much quieter.The desk lamp blew the switch apart when I turned it on and this also tripped the fuse for our room plus others. Unfortunately this also seems to have damaged my husbands Samsung tablet which was using the same power point and this is in the process of being assessed for repairs.Would I stay here again? No unless I had evidence that the maintenance issues have been addressed.",Negative,TripAdvisor
"The architecture is awesome. Well done Jeffrey Bawa.
The view is awesome.
The service is Good
But the quality of the food is not up to the standards of a 5-star hotel and needs improvement (some 4-star hotels have better food).
The eco-park needs improvement, the naturalists there are great though.",Positive,Google Reviews
Best view. Food options at the buffet are also unique and very good.,Positive,Google Reviews
"This is a stunning hotel in a beautiful location and it's all about the setting. Curves and lines lead the eyes to the view at all times. Sitting on the terrace overlooking the infinity pool was magic. Some of the corridors verge on the industrial austerity but never cross the line from understated elegance.The service was excellent and whilst prices for a cool beer and some light nibbles was higher than other places, it wasn't exorbitant. This was a great diversion after visiting the Dambulla Caves and on our way to Sigiryia. Worth a visit even if not staying",Negative,TripAdvisor
"The place matches the photos on the booking site. That itself is worth the stars. Very well furnished room, though not well maintained. For an establishment of just 24 years, the age is showing. What they lack in hospitality, they make up in old world charm.",Positive,Google Reviews
Rooms were poorly maintained. Dirt all over the place. I guess its due to this pandemic and only available for locals. Food was great. Had a good variety. It was not that bad after all..main thing was its architecture.,Positive,Google Reviews
Poor service...,Negative,Google Reviews
"The hotel Architecture was fantastic and the rooms were as expected. Food was poor. There were two options either buffet or normal restaurant. We tried both and both were poor. Sadly, when staying here there are no other options…",Negative,Agoda
"The hotel is in harmony with the environment, and the building is built to match the natural environment. The swimming pool and the reservoir are separated by a line, and the water and the sky are the same color. Take a break to cool off the summer heat naturally.",Positive,Google Reviews
"This hotel is unusual and has some lovely features, particularly the vines draping in front of the windows with monkeys and birds perched on the balconies. Room cleaning crews were spot on but sadly the furnishings are looking run down and could do with updating. Woodwork is looking rough.The restaurant has a good choice but on our first evening a child threw up on the floor near our table and waiting staff did not even clear it up, allowed the sick child and family to stay and return to buffet and put a linen napkin on the floor over the vommit! A complete disaster for cross contamination. We were appalled and left. Two days later there was a mouse in the restaurant!We felt the whole place lacked a sense of pride and was a real tourist bus factory!We tried to use the swimming pools but there were no chairs let alone sunbeds. The poolside was just mud.This was the most expensive hotel on our 21 day itinerary on a private Sri Lankan tour, it was definitely the worst.",Negative,TripAdvisor
"The masterpiece of the world-class architect Bawa, surrounded by mountains and rivers, the scenery is boundless, and the sunset time is especially beautiful. Variety of breakfast and dinner.",Positive,Google Reviews
"Amazing scenery with Kandalama Lake and Sigiriya in the horizon. The suite was cosy and had ample amenities. Good WiFi. The beds were super comfy and the view from the suite was just priceless.
We ordered in-room dining for dinner, which was delivered in about 25 minutes. The breakfast buffet had both western and Sri Lankan options, with cooks preparing local dishes as requested.
The staff was well-mannered and friendly, ever ready to answer our questions. There's a spa as well but we didn't check it out.",Positive,Google Reviews
Wow. Had a wonderful honeymoon,Positive,Google Reviews
"NO SOUND PROTECTION AT ALL. You will hear every person and noise echoing through your door into your room. And the people banging above and below you. Demand and prearrange that you stay at the very very very end of the hotel away from the elevators, or it's gonna be a supper annoying stay for sound sensitive people.",Negative,TripAdvisor
"We were attracted by the architecture and ""eco"" feel of this hotel and we were not disappointed. Large well designed rooms and one of the best bathrooms and showers I have encountered anywhere. Monkeys on your balcony in the mornings was a treat. A few minor downsides.The area around the infinity pool needs a bit of refurbishment. The service, although very earnest, is a bit slow. The hotel is a long way from any other habitation and side trips take quite a while. We were disappointed with the food- the only bad fish curry I experienced on the trip. Overall a charming hotel and we are glad we stayed there.",Positive,TripAdvisor
"Stunning views, great people, amazing wildlife. 5 star cuisine. Nothing short of great!",Positive,Google Reviews
"Hotel in beautiful setting, selection of F£B outlets and good souvenir shop

A hotel in a beautiful setting. The room was comfortable and luxurious. However, staff can be more efficient as they did not set up the extra bedding till past 11pm and we had a very tired 10 yr old.",Negative,Agoda
Just wow..... nature lover's...,Positive,Google Reviews
Amazing  place.food quality and presentation is exceptional.needs a few more activities and a nice bar.chef mahesh  and staff do a excellent  job,Positive,Google Reviews
"We stayed in the Heritance for 3 nights, as per the other reviews it is a beautiful hotel in a great location. The biggest disappointment with the hotel was the service, the only thing that was consistent about it was how bad it was, nothing ever came on time, no one would take our order etc. etc. I would really expect more for a hotel of this price in Sri Lanka. A hotel with this level of service in a different location would not survive! Pull up your socks Heritance Management !",Negative,TripAdvisor
"We visited hotel for our anniversary in the month of november.we stayed for 3 days,right from beginning till end everything was good and amazing with delicious food and extraordinary nature's touch. All the staff were very friendly especially Duty manager Dinesh and his team,gave us good hospitality and care during odd hours also they responded immediately.
Thank you",Positive,Google Reviews
Had a wonderful time with family the food was good rooms were good but needs updating very good spot to travel round dabula went on a balooning trip and eliphent safary.visit local places like Sigeriya minneriya safary park bird santuary,Positive,TripAdvisor
"This hotel is a real disappointment. The breakfast in the morning looked stale and dinner was average.The walls in the hotel all need a refreshing of paint as it all feels slightly grubby. There are no where near enough pool sun loungers for the amount of guests and several guests were just putting towels on the concrete. Whilst the hotel states it has three pools, one of them has a ""rocky"" style floor making it hard to swim in or even walk in.The room was the least of our problems and still it was not quite clean, we had tears in the curtains and lights that didn't work making the room very dark.We tried to get our money back and move hotels but we couldn't - a room upgrade really didn't change much.I wouldn't stay here if you are looking for a relaxing, luxury get away.",Negative,TripAdvisor
"Arrived after a long journey from the coast in the dark. Escorted to my room quickly and efficiently. The room clean, tidy a kind of colonial feel with dark wood and ceiling fan (there is Air Con). Quite liked the jacuzzi tub in the window of the bathroom. It would take the rising of the sun the following day to highlight how impressive the view was...which was pretty impressive. We took dinner in the main restaurant with the hotel buffet. Lots of choice, not amazing quality but perfectly ok. Breakfast choice was fine the following morning with live stations catering to different ethnic tastes. I found the bar area a bit limited and the public areas a little too dark in the evening. If you are thinking of staying here, Google external images of the hotel and you will see why it is unique. This is quite a special hotel... including the monkey’s outside the bedrooms looking in to see what food and anything else they can steal... The light and power controls behind the headboard were a little odd and difficult to operate in low light - I had to resort to using the torch on my phone to see. Hotel has several different pools and an upmarket a la carte restaurant. This is all about location....it is about 30 mins from Sirigiya, which can be seen from the one wing of rooms. Return... yup!",Positive,TripAdvisor
eco and in the hills. lots of wildlife but felt safe.,Positive,Booking.com
When you book rooms please ask the level or floor of the rooms. If you get 2 and 3 floors .. you donÕt have view and dark view. Entrance side only rock. I think better to select from 4th floor and above.,Negative,Google Reviews
"One of the worst experience ever. I even regret the fact that I actually booked this hotel for a short holiday. I enjoyed quarantine hotel (Amari Galle) than Kandalama. Your staff is rude. Especially the kitchen stewards. The steward who served me Curd and Bee honey was absolutely rude. I asked him for bee honey and he was like ""you want pickle?"". Then I said I want honey and then he said pickle and honey is the same thing :D. This is definitely not a 5 star hotel. Hospitality is very low. I didn't feel that I actually went for a luxury hotel but a community center. Not gonna recommend to any of my friends. And why people wearing gown and other eastern clothing to the pool ? Hilarious.",Negative,Google Reviews
"We arrived in the middle of the jungle, in the middle of the night. All good. Received our complementary 'drink' (juice), only to be told that our pre-paid booking was for a single. No problem, we were told, they would upgrade us. The upgrade was a liar, they had us in the same room, charged us an extra $US70 & just pushed two single beds together.",Negative,Agoda
"We enjoyed our stay at the hotel, particularly appreciating that it was spacious, clean and the staff were welcoming.It may just be that we were there out of season, but the place felt deserted, with huge voids of space, a really unwelcoming bar area at the ground floor, and rather ordinary food which could have been so much better. Fair to say that the hotel is seeking quantity over quality so far as the food is concerned. A little hesitant between 3 and 4 stars, but just feel it falls short of the 4.",Negative,TripAdvisor
A place where your related requirements will fulfill with good service,Positive,Google Reviews
"for a 5* hotel and the price we were disappointed. The restaurant had zero atmosphere with average food and high prices. The majority of staff were not particularly friendly, which is the opposite of what we have found everywhere else in Sri Lanka! Due to its location (a drive down a very long and bumpy dirt track) taxis are required to get everywhere which is fine but the hotel charges extortionate amounts if you book through them. Once we had a couple of local contacts we saved so much money. We also felt some areas of the hotel were tired and needed some attention (for example we couldnÕt get the plug out to drain the jacuzzi bath- that weÕd paid extra for - and someone had to come with a plunger each time). Maybe they are just catching up post-covid but the vibe is strange!",Negative,Google Reviews
"This hotel has had its day.  It looks tired and dated. In our room the spa, toilet and safe didn't work. The buffett is ordinary. I would not stay here again.  ",Negative,Expedia
"Very overrated and terrible rooms! Don’t be fooled by the pictures as whilst you do get the most amazing views from your room and the infinity pool, the rooms are very dated, can get claustrophobic and noisy! The fan creeks when on, the AC has one full blast loud setting, you hear your neighbours and the worst of all was the floor cleaning machine used in the corridors at ALL times, whether it’s nidnight or early hours, with no thought of guests who may be sleeping in the rooms. Be careful of drivers who increase your trip prices due to extra journeys they suggest you should do. If you are looking for a rustic Sri Lankan experience then this is the hotel for you, as apart from Views we definitely didn’t think this was 5 star!",Negative,TripAdvisor
"The only good thing with this hotel is the view of the lake. The rest is 2 star hotel-, very tired, old, dirty rooms, very poor service. Food very basic. At the end of each meal the staff started helping them self for the food and eating while the guests finishing their meal!!! Had to wait 2 hours to be checked in after 2 o’clock checking time and even then the room was not ready. Poor hygiene at the pool. Big mistake to chose this hotel for my holiday.",Negative,TripAdvisor
Little delay in service,Negative,Booking.com
"Excellent hotel! Varied breakfasts, friendly staff, clean comfortable rooms with a magnificent view. Sometimes monkeys come to visit the balconies)",Positive,Google Reviews
I could not believe it and was disappointed. They vacuumed  and changed the bed linen only after I informed the room is dusty. It kept me worrying about the safety at pandemic times. I enjoyed everything else. I love this place  but this is the first and last visit here. My kids told me the same.,Positive,Google Reviews
"As always, it’s a great hotel situated on stunning location in front of kandalama lake. Spacious rooms & amenities. Staff is helpful & setting everything based on the new normal standards. Restaurant is nicely done & food is mouth watering",Positive,TripAdvisor
"Wonderful architecture with a stunning view of the lake in front, delicious food with variety of choices but staffs are very unfriendly from the reception to buffet every staff we met were with the same attitude. You cannot ask a question for the second time, response would be with a different tone. Very unprofessional staffs, i am not referring to everyone but whom we met. Management needs to take it seriously..",Positive,Google Reviews
all was good,Positive,Booking.com
"Sad to say being a member of a reputed hotel chain in Sri Lanka the customer service was at a very poor level from the entrance itself. One lady who’s working at the reception (can’t remember the name) was extremely rude to us. There’s no cooperation received from them at all. We didn’t feel happy to stay in the hotel. Also, Your quality of food needs to improved in terms of taste. The toilet cleanliness in the suit we stayed was very sad as well. Due to this we actually moved to a hotel few kilometers away from here where we experienced a warm welcome from the entrance till our time of departure. I wouldn’t recommend this place for anyone to visit because the staff members are like this. Their hospitality (at Heritance Kandalama) is very very poor.",Negative,TripAdvisor
"A lovely place on the side of the lake, architecturally stunning. Food is mixed, some lovely local cuisine but the sheer range of the buffet means there are some disasters as well. One point off for the terrible upkeep of the rooms, which are too dark to start with. As an aside there are no comfortable places to sit in the rooms. And another point off for the sheer indifference of the staff, particularly reception, which needs better training. The spa was an absolute highlight if you could find it.",Negative,TripAdvisor
"The view from our room was fantastic and breathtaking.. It is situated embedded within the jungle hence its a unique experience.. Sadly thats the only positive thing i can say about this hotel besides some of the extremely helpful staff. The outdated fittings in bathrooms to furniture at this hotel is disappointing to see given its a 5 star resort in sri lanka. we stayed at the Dambulla wing during out stay. Perhaps their new wing has updated rooms.. They were not prepared to handle a larger group at all given we had bought half board. During any of our meals, the restaurant staff couldn't seat us in a timely fashion. The hotel was fully booked hence they had no structure in managing the restaurant correctly. we had to wait easily 10-15 minutes to see where we sit, while they were requesting to move other guests around ( which i think must have been inconvenience for them as they had full plates ). Regardless of speaking to the restaurant manager etc, who was very apologetic, didnt really help. It was an experience, i wish not to repeat and doubt i will visit here with any large groups.I must however commend the wait staff outside the restaurant, who were very attentive ( specially by the pool & the bar ) who did a fantastic job with our group..",Negative,TripAdvisor
"In its heyday this hotel would have been fantastic. Sadly it's a bit tired and very expensive for what you get. Notwithstanding this the setting is lovely, monkeys are crazy thanks to people who feed them. Staff are lovely and food is great but wildly expensive. This booking was our 3rd and last booking with Agoda. We booked as a family of 4 and somehow Agoda changed this to 1 adult. Agoda advertise the king room as having a king and 2 twin beds when in effect the rooms are only 25sqm and there is no way a family of 4 could fit in. The end result is that we had to purchase another room for the kids and cop nearly $700 USD in additional costs. We will NEVER use Agoda again. Impossible to think that such an organisation can stuff up 2 out of the 3 bookings we made and be so unprofessional in resolving it.",Negative,TripAdvisor
Its a beautiul getaway. Love the place,Positive,Google Reviews
"Everything was perfect, location, food, staff, but the room has to be renovated, it needs to be more refurbished",Positive,Expedia
"Bathroom can be bit dry, coz after having a shower it's allover wet & a separate shower would have been a extra plus point additional to the jacuzzi",Negative,Booking.com
"Upon reaching our room, we were greeted with a disturbing sight. A gigantic millipede and an ant infestation greeted us as soon as we entered. While we understood that we were in a jungle setting, we had expected a '5-star' property to be able to keep simple pests at bay.",Negative,Google Reviews
This hotel is like a dream to me. Such a beautiful place. Hotel is surrounded with really good views of the forest and the Kandalama lake. We went there for our first wedding anniversary and the vibes were really good and romantic. Rooms are big and spacious with good facilities. The balcony opens up to the view of the Kandalama lake. Also wild animals can be seen from the balcony. Mornings in the balcony with that view was really pretty. Bird singings and jungle vibes are soo good. Pools are also good with beautiful views. Food is also really good. The staff was friendly too. I really loved the stay and looking forward for another stay in here.,Positive,Google Reviews
Nice and lovely atmosphere next to kandalama lake,Positive,Google Reviews
Laundry services bit overpriced. Same with Spa offer. We found it to be the same prices as in Europe or even bit more. The hotel is impressive in its size and location but looks a little dated and worn. Could use some renovation,Negative,Booking.com
The hotel is in need of interior updating but the grounds are outstanding. ,Negative,Agoda
"This architectural design of this hotel is absolutely incredible, and is by far the most interesting hotel we have ever stayed in. the views are phenominal, and you even get a view from the shower…
service is the best that we have had in Sri Lanka - and the food is excellent",Positive,Booking.com
The room & the customer service were perfect. Little bit of improvement in the buffet is recommended. Add some more varieties to the buffet & improve the service level in the dining area.,Positive,Google Reviews
"The view from the hotel is amazing. However, the service was bad and the hotel itself is old. The staff were either not educated or just no motivation to provide good service to the customers. Examples are that they got us the seats in the dining area but didn't provide us with menu, or that they didn't have any greeting or even a smile when seeing customers passing by them. We were very disappointed during our stay.",Negative,Agoda
Indian Vegetarian foods.,Negative,Booking.com
"We thought a heritance kandalama is the best resort hotel for honeymooners and for others. yep, I think it was. But so sad to say totally collapsed.Cockrochers and flyies at nigt comes inside while windows closed ,Main problem there is no responsible staff in housekeeping.Because cockrochers legs were inside of the shower gel bottle. I feel they did not clean properly evrything inside in room . But i need to say great view and they were providing very tast food.this was after lockdown.we faced last month.______",Negative,Google Reviews
Great experience...!!!,Positive,Google Reviews
